no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
136	O=C1CCCN1a2aaaaa2	0	1.00	0.019478	
137	CC(=O)NC(CSC(Cl)=C)C(O)=O	1	1.00	0.255933	
138	CC(=O)NC(CSCC[Cl,Br])C(O)=O	1	0.80	0.384853	
139	[$(SCC(NC(=O)C(C)C)C=O),$(CSSCC(NC(=O)C(C)C)C=O)]	0	1.00	0.042835	
140	NC(=O)C=[C;H2;D1]	0	0.75	0.152757	
141	[N;D3]CC[N;H1;D2]C([$(c1ccccc1),$(C=C2NC=CC=C2)])=O	1	0.75	0.073898	
142	[N;H2;D1]C(=O)c1ccccc1	0	0.64	0.243528	
143	N=CNC(=O)c1ccccc1	1	1.00	0.255933	
144	[$(c1ccccc1),$(N),$(C)]C(=O)[N;H1;D2][$([O;H1;D1]),$([O;D2]C(N)=O)]	1	0.92	0.008712	
145	CON(O[$(C(C)=O),$(c4ccccc4)])C(=O)[$(c1ccccc1),$(c2ccc3ccccc3c2)]	1	1.00	0.000002	
146	[C;H3;D1][C;H2;D2][O;D2]C(N)=O	1	1.00	0.002672	
147	N[$([O;D2]),$([S;D2])]C(N)=O	1	0.71	0.466010	
148	CC(=O)[N;D3](O)C(N)=O	1	1.00	0.130941	
149	NC(=[O,S])SCC(Cl)=C	1	1.00	0.255933	
150	[N;D1]C1=NC(=O)N(CCC[O;D1])C=C1	0	1.00	0.004025	
151	O=CNc1ccc([$([S;D2]),$(O)]c2ccccc2)cc1	1	0.95	0.000135	
152	O=CNc1cccc2[n,c]cc[n,c]c12	1	0.84	0.009900	
153	O=CNc1ccc2[n,c]cc[n,c]c2c1	1	0.93	0.002730	
154	O=CNc1ccc(cc1)-c2ccccc2	1	0.81	0.003322	
155	O=CNc1ccc(cc1)[S;D4](=O)=O	0	1.00	0.001829	
156	O=C1CCO1	1	0.75	0.630912	
157	[Cl,Br,F,N,O][C;D2]C1=CC(=O)OC1	1	1.00	0.009575	159
158	[$(O=C1Oc2cc([N,O])ccc2C=C1);!$(O=C1Oc2cc3[N,O][*][*][*]c3cc2C=C1);!$(O=C1Oc2cc3[N,O][*][*]c3cc2C=C1);!$(O=C1Oc2c3[*][*][*][N,O]c3ccc2C=C1);!$(O=C1Oc2c3[*][*][N,O]c3ccc2C=C1)]	0	1.00	0.000378	
159	C1OC(=O)C=C1	1	0.84	0.000861	
160	[Cl,Br,I,F]CC1=CC(=O)OC1	1	1.00	0.000063	159
161	C1=C(Cl)C(=O)OC1	1	1.00	0.000217	159
162	O=C1CCCO1	0	0.67	0.032460	
163	[O;H1;D1]C(=O)CN1C(S)CC1=O	0	1.00	0.008855	
164	O=C1C=Cc2ccccc2C1=O	1	0.75	0.245238	
165	O=C1CCC(=O)C=C1	1	1.00	0.503956	
166	CC(C)(C)C1=CC(=O)C=CC1=O	1	1.00	0.503956	
167	O=C1c3ccccc3C(=O)c2ccccc12	1	0.84	0.000000	
168	N=C1C=CC(=N)C=C1	1	1.00	0.503956	
169	[$([C;D1]),$(O[C;D1])]C1=CC(=O)C=CC1=O	0	0.80	0.050924	
170	N#[N+][a]	1	1.00	0.130941	
171	O=[N;D2]c1ccccc1	1	0.86	0.000074	
172	[O;H1;D1]c1ccccc1[N;D2]=O	0	0.67	0.594525	171
173	c1cc([c;!$(cCl);!$(cBr)])ccc1[$([N;D2]),$([N;D3]C)][O;D1]	1	1.00	0.000117	174,180
174	c1cc([$(*);!$(Cl);!$(Br)])ccc1[$([N;D2]),$([N;D3]C)][O;D1]	1	0.93	0.000000	180
175	O[N;!$([N+])]c1ccc([$(Cl),$(Br),$(C(=O)OCC)])cc1	0	0.89	0.014029	
176	ON(Cc1ccccc1)c2ccccc2C=[C,N,O]	0	1.00	0.042835	
177	[O;H1;D1][N;D3]1[C;D4]CC([C;D4]1)C=O	0	1.00	0.094184	
178	ON=C[a]	0	0.67	0.121471	
179	[O;H1;D1]N=C[a]	0	1.00	0.094184	178
180	c1ccccc1[$([N;D2][O;D1]),$([N;D3][O;D1])]	1	0.81	0.000000	
181	[O;H1;D1]C1=C(Oc2cc(O)cc([O;H1;D1])c2C1=O)c3ccc([O;H1;D1])c([O;H1;D1])c3	1	1.00	0.503956	185
182	[c;D2]1cc([O;H1;D1])c([O;H1;D1])c([O;H1;D1])c1	1	1.00	0.503956	
183	[O;H1;D1]c1ccc([O;H1;D1])c([O;H1;D1])c1	1	1.00	0.018252	
184	Oc1ccc(O)cc1C(=O)[C,c]	1	0.90	0.000000	
185	c1cc(O)c(O)cc1C=C	0	0.81	0.001438	
186	[N,H2;D1]CCc1ccc([O;H1;D1])c([O;H1;D1])c1	1	0.75	0.630912	
187	COc1ccccc1O[C;D2;H2]	0	0.85	0.004943	
188	[C;H3;D1]Oc1cccc(O[C;H3;D1])c1O[C;H3;D1]	0	0.89	0.014029	
189	O1c2c[c;!$(c[N+]([O-])=O)][c;!$(c[N+]([O-])=O)]cc2Oc3c[c;!$(c[N+]([O-])=O)][c;!$(c[N+]([O-])=O)]cc13	0	0.80	0.184250	
190	c1ncncn1	0	0.75	0.045838	
191	c2ncnc(n2)-c1ccc(o1)[N+]([O-])=O	1	1.00	0.503956	190
192	[c;R1;!R2;!R3]1[c;R1;!R2;!R3]n[c;R1;!R2;!R3]n[c;R1;!R2;!R3]1	0	0.65	0.143540	
193	c1ccc2nccnc2c1	1	0.83	0.000000	
66	[c;!$(cNN)]1[c;!$(cNN)][c;!$(cNN)][c;!$(cNN)]2[c;!$(cNN)]nn[c;!$(cNN)][c;!$(cNN)]2[c;!$(cNN)]1	0	1.00	0.042835	37
67	N[N;!$([N+]);!$(NC=O);!$(N=[N,C,O])]c1nncc2ccccc12	1	1.00	0.130941	37,66
194	c1cn[n]n1	0	0.67	0.315874	
195	ac1nc(a)c(a)n1	1	0.91	0.000368	196
196	ac1nccn1	1	0.88	0.000109	
197	ac1cncn1	1	0.81	0.000000	
198	CC1CNC2Cc3c[n]c4cccc(C2C1)c34	1	0.80	0.123281	
199	[*]=[N+]=N	1	0.97	0.000000	
200	aN=N[a]	1	0.68	0.002609	
201	N=NCC=O	0	0.86	0.052063	
202	[O;H1;D1]CC[N;D3](CC[O;H1;D1])c1ccc(cc1)N=Nc2ccc([*;!$([N+](=O)[O-])])cc2	0	1.00	0.094184	200
203	OCCN(CCO)c1ccc(cc1)N=Nc2ccc(cc2)[N+]([O-])=O	1	1.00	0.255933	200
204	ON(=Nc2ccccc2)c1cccc(NC=O)c1	0	1.00	0.094184	200
205	[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-])]	1	0.97	0.000000	
206	CNN=NC	1	1.00	0.067462	
207	[N;H2;D1]C(=[N;H1;D1])a	0	1.00	0.004025	
208	NC(=N)c1cc2ccccc2n1	0	1.00	0.094184	
209	NC(=N)c1ccc2ccnc2c1	0	1.00	0.042835	
210	[*]NN=O	1	0.90	0.000000	
211	Cl[C;H2;D2][C;H2;D2]N([$([C;H3;D1]),$([C;D3]=O)])N=O	1	1.00	0.009575	210
212	[$(C([Cl,Br])([Cl,Br])([Cl,Br])),$([C;H1;D3]([Cl,Br])([Cl,Br]))]C#N	1	1.00	0.130941	
213	[$(C[Cl,Br]);!$(C([Cl,Br])[Cl,Br])]C#N	0	1.00	0.042835	
214	C=CC=C(C#N)c1ccccc1	1	1.00	0.130941	216
215	O=COC(C#N)c1cccc(Oc2ccccc2)c1	0	1.00	0.094184	
216	C=C(C#N)c1ccccc1	1	0.75	0.304544	
217	C#CCc1ccccc1	1	1.00	0.255933	
218	COC(=O)C(=C[a])C#N	0	0.80	0.184250	
219	[C;H1;D2](C#N)=C	0	0.67	0.594525	
220	CC[N;D3](CCCl)P(N)(=O)[$([O;H1;D1]),$([O;D2]C)]	1	1.00	0.009575	221
221	[N,S,O][C;H2;D2][C;H2;D2][Cl,Br,F,I]	1	0.91	0.000000	
222	C=Cc1ccccc1	1	0.56	0.452095	
223	COc1cc([C;H2;D2]C=C)ccc1O	0	1.00	0.019478	
224	[$(C3CCC2C(C3)C=Cc1ccccc21),$(C3CC=C2C(C3)CCc1ccccc21)]	1	0.80	0.384853	222
225	ClC(Cl)=Cc1ccc(Cl)cc1	0	1.00	0.094184	222
226	N=Cc1ccccc1	1	0.58	0.709583	227
227	C=N[a]	1	0.62	0.355090	
228	C1CN=Cc2ccccc2N1	0	0.83	0.098721	227,226
229	ClCC(CCl)OP=O	1	1.00	1.000000	
230	[Br,Cl][C;D2,H1][C;D3;H1]([Br,Cl])COP(=O)	1	1.00	0.130941	
231	[Br,Cl][C;D2,H1][C;D4]([Br,Cl])COP(=O)	0	1.00	0.455070	
232	[Br,Cl][C;D4][C;D2,H1]([Br,Cl])COP(=O)	0	1.00	0.455070	
233	OC(=O)C=COP(O)(O)=O	0	1.00	0.094184	
234	O=POc1ccccc1	0	0.72	0.030831	
235	O=PO[$(CCCC),$(CCOCC)]	0	0.93	0.000487	
236	O=P(Oc1ccccc1)(Oc2ccccc2)(Oc3ccccc3)	0	1.00	0.042835	234
237	CCCCOP(=O)(OCCCC)OCCCC	0	0.83	0.098721	235
238	[O;H1;D1]P([O;H1;D1])(=O)O[*]	0	1.00	0.004025	
239	[a,C]OP(OC)(OC)=S	0	0.63	0.211374	
240	[*]OP(=S)(O[*])S[*]	0	0.73	0.037334	
241	[O,S]=P1OCc2ccccc2O1	1	1.00	0.503956	
242	COS(=O)(=O)OC	1	1.00	0.130941	
243	COS(C)(=O)=O	1	1.00	0.000117	
244	CS(=O)(=O)[O;H1;D1]	0	0.71	0.257027	
245	CS(C)(=O)=O	0	0.57	0.708989	
246	O=S(=O)(Oc1ccccc1)c2ccccc2	0	1.00	0.455070	
247	CS(N)(=O)=O	1	0.82	0.026134	
248	CC42CCCCC4CCC1C3CCCC3CCC21	0	0.60	0.304670	
249	O=C1CCC2C3CCC4CCCC4C3CCC2=C1	0	1.00	0.001829	
250	c1cc2ccccc2n1	1	0.61	0.108500	
251	[O,N]c1ccc(C=Nc2cnc3ccccc23)cc1	1	1.00	0.130941	250
252	[O;H1;D1]c1ccc2nc3COCCc3c2c1	1	1.00	1.000000	250
253	[O;H1;D1]c1ccc2c3CCOCc3nc2c1	1	1.00	1.000000	250
