No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
240	O=C(OC4C(Oc1cc3c(O)cc(O)cc3([o+]c1c2ccc(O)c(O)c2))OC(CO)C(O)C4(O))c5cc(O)c(O)c(O)c5	49.95	0.735	43.15	0.635	44.25	0.651	71.45	1.051	68	43	72	47	24	1	0	23	59.5	25	28	0	15	0	0	0	0	0	0	0	36.765	41.176	0	22.059	0	15	0
241	Oc2cc(O)c3cc(OC1OC(CO)C(O)C(O)C1(O))c([o+]c3(c2))c4ccc(O)c(OC)c4	38.47	0.687	34.51	0.616	35.69	0.637	58.25	1.04	56	33	59	36	17	0	0	17	44.5	23	22	0	11	0	0	0	0	0	0	0	41.071	39.286	0	19.643	0	11	0
242	Oc3cc(O)c4cc(OC2OC(COC1OC(C)C(O)C(O)C1(O))C(O)C(O)C2(O))c([o+]c4(c3))c5ccc(O)c(OC)c5	50.59	0.666	45.55	0.599	47.29	0.622	78.97	1.039	76	43	80	47	17	0	0	17	55.5	33	28	0	15	0	0	0	0	0	0	0	43.421	36.842	0	19.737	0	15	0
243	Oc2cc(O)c3cc(OC1OC(CO)C(O)C(O)C1(O))c([o+]c3(c2))c4ccc(O)c(O)c4	37.31	0.704	32.91	0.621	33.93	0.64	55.37	1.045	53	32	56	35	17	0	0	17	43.5	21	21	0	11	0	0	0	0	0	0	0	39.623	39.623	0	20.755	0	11	0
244	Oc2cc(O)c3cc(OC1OC(CO)C(O)C(O)C1(O))c([o+]c3(c2))c5ccc(O)c(OC4OC(CO)C(O)C(O)C4(O))c5	50.76	0.686	44.46	0.601	45.98	0.621	77.42	1.046	74	43	78	47	17	0	0	17	55.5	31	27	0	16	0	0	0	0	0	0	0	41.892	36.486	0	21.622	0	16	0
245	Oc3cc(OC1OC(CO)C(O)C(O)C1(O))c4cc(OC2OC(CO)C(O)C(O)C2(O))c([o+]c4(c3))c5ccc(O)c(O)c5	50.76	0.686	44.46	0.601	45.98	0.621	77.42	1.046	74	43	78	47	17	0	0	17	55.5	31	27	0	16	0	0	0	0	0	0	0	41.892	36.486	0	21.622	0	16	0
246	Oc3cc(OC1OC(CO)C(O)C(O)C1(O))c4cc(OC2OC(CO)C(O)C(O)C2(O))c([o+]c4(c3))c5cc(O)c(O)c(O)c5	52.09	0.695	44.97	0.6	46.43	0.619	78.75	1.05	75	44	79	48	17	0	0	17	56.5	31	27	0	17	0	0	0	0	0	0	0	41.333	36	0	22.667	0	17	0
247	Oc1ccc(cc1)c3[o+]c4cc(O)cc(OC2OC(CO)C(O)C(O)C2(O))c4(cc3)	34.65	0.679	31.89	0.625	33.03	0.648	52.71	1.034	51	30	54	33	17	0	0	17	41.5	21	21	0	9	0	0	0	0	0	0	0	41.176	41.176	0	17.647	0	9	0
248	Oc3cc(O)c4cc(OC2OC(COC1OC(C)C(O)C(O)C1(O))C(O)C(O)C2(O))c([o+]c4(c3))c5ccc(O)c(O)c5	49.43	0.677	43.95	0.602	45.53	0.624	76.09	1.042	73	42	77	46	17	0	0	17	54.5	31	27	0	15	0	0	0	0	0	0	0	42.466	36.986	0	20.548	0	15	0
249	O=C(OCC5OC(Oc2cc4c(OC1OC(CO)C(O)C(O)C1(O))cc(O)cc4([o+]c2c3ccc(O)cc3))C(O)C(O)C5(O))C=Cc6ccc(O)cc6	61.57	0.684	55.77	0.62	57.71	0.641	93.39	1.038	90	53	95	58	25	2	0	23	71.5	37	36	0	17	0	0	0	0	0	0	0	41.111	40	0	18.889	0	17	0
250	Oc3cc(OC1OC(CO)C(O)C(O)C1(O))c4cc(OC2OC(CO)C(O)C(O)C2(O))c([o+]c4(c3))c5ccc(O)c(OC)c5	51.92	0.674	46.06	0.598	47.74	0.62	80.3	1.043	77	44	81	48	17	0	0	17	56.5	33	28	0	16	0	0	0	0	0	0	0	42.857	36.364	0	20.779	0	16	0
251	Oc3cc(OC1OC(CO)C(O)C(O)C1(O))c4cc(OC2OC(CO)C(O)C(O)C2(O))c([o+]c4(c3))c5cc(O)c(O)c(OC)c5	53.25	0.683	46.57	0.597	48.19	0.618	81.63	1.047	78	45	82	49	17	0	0	17	57.5	33	28	0	17	0	0	0	0	0	0	0	42.308	35.897	0	21.795	0	17	0
252	Oc1cc(O)c2cc(O)c([o+]c2(c1))c3cc(O)c(O)c(O)c3	25.19	0.763	21.87	0.663	22.33	0.677	34.65	1.05	33	22	35	24	17	0	0	17	32.5	11	15	0	7	0	0	0	0	0	0	0	33.333	45.455	0	21.212	0	7	0
253	Oc1cc(O)c2cc(O)c([o+]c2(c1))c3cc(OC)c(O)c(OC)c3	27.51	0.705	25.07	0.643	25.85	0.663	40.41	1.036	39	24	41	26	17	0	0	17	34.5	15	17	0	7	0	0	0	0	0	0	0	38.462	43.59	0	17.949	0	7	0
254	Oc2cc(O)c3cc(OC1OC(CO)C(O)C(O)C1(O))c([o+]c3(c2))c4cc(OC)c(O)c(OC)c4	40.96	0.683	36.62	0.61	37.9	0.632	62.46	1.041	60	35	63	38	17	0	0	17	46.5	25	23	0	12	0	0	0	0	0	0	0	41.667	38.333	0	20	0	12	0
255	Oc1cc(O)c2cc(O)c([o+]c2(c1))c3ccc(O)c(O)c3	23.86	0.746	21.36	0.668	21.88	0.684	33.32	1.041	32	21	34	23	17	0	0	17	31.5	11	15	0	6	0	0	0	0	0	0	0	34.375	46.875	0	18.75	0	6	0
256	Oc1cc(O)c2cc(O)c([o+]c2(c1))c3cc(O)c(O)c(OC)c3	26.35	0.732	23.47	0.652	24.09	0.669	37.53	1.042	36	23	38	25	17	0	0	17	33.5	13	16	0	7	0	0	0	0	0	0	0	36.111	44.444	0	19.444	0	7	0
257	Oc1ccc(cc1)c2[o+]c3cc(O)cc(O)c3(cc2(O))	22.53	0.727	20.85	0.673	21.43	0.691	31.99	1.032	31	20	33	22	17	0	0	17	30.5	11	15	0	5	0	0	0	0	0	0	0	35.484	48.387	0	16.129	0	5	0
258	O=C3c5ccccc5(C(=O)c4c(O)c(OC2OC(COC1OCC(O)C(O)C1(O))C(O)C(O)C2(O))ccc34)	44.37	0.693	39.43	0.616	40.73	0.636	66.73	1.043	64	38	68	42	14	2	0	12	50	26	25	0	13	0	0	0	0	0	0	0	40.625	39.062	0	20.312	0	13	0
259	O=C1c3cccc(O)c3(C(=O)c2c(O)cc(cc12)CO)	22.45	0.748	20.55	0.685	21.05	0.702	31.05	1.035	30	20	32	22	14	2	0	12	30	10	15	0	5	0	0	0	0	0	0	0	33.333	50	0	16.667	0	5	0
260	O=C1c3ccccc3(C(=O)c2c(O)c(ccc12)C)	19.79	0.707	19.53	0.697	20.15	0.72	28.39	1.014	28	18	30	20	14	2	0	12	28	10	15	0	3	0	0	0	0	0	0	0	35.714	53.571	0	10.714	0	3	0
261	O=C1c3ccccc3(C(=O)c2c(O)c(c(O)cc12)CO)	22.45	0.748	20.55	0.685	21.05	0.702	31.05	1.035	30	20	32	22	14	2	0	12	30	10	15	0	5	0	0	0	0	0	0	0	33.333	50	0	16.667	0	5	0
262	O=C1c3cc(OC)cc(O)c3(C(=O)c2c(O)cc(cc12)C)	23.61	0.715	22.15	0.671	22.81	0.691	33.93	1.028	33	21	35	23	14	2	0	12	31	12	16	0	5	0	0	0	0	0	0	0	36.364	48.485	0	15.152	0	5	0
263	O=C(O)c1cc(O)c2C(=O)c3c(O)cccc3(C(=O)c2(c1))	23.62	0.814	20.46	0.706	20.74	0.715	30.5	1.052	29	21	31	23	15	3	0	12	32	8	15	0	6	0	0	0	0	0	0	0	27.586	51.724	0	20.69	0	6	0
264	O=C(O)c1c(O)cc2C(=O)c3ccccc3(C(=O)c2(c1(O)))	23.62	0.814	20.46	0.706	20.74	0.715	30.5	1.052	29	21	31	23	15	3	0	12	32	8	15	0	6	0	0	0	0	0	0	0	27.586	51.724	0	20.69	0	6	0
265	O=C1c3ccccc3(C(=O)c2c(O)c(O)ccc12)	19.96	0.768	18.44	0.709	18.84	0.725	26.84	1.032	26	18	28	20	14	2	0	12	28	8	14	0	4	0	0	0	0	0	0	0	30.769	53.846	0	15.385	0	4	0
266	O=Cc1c(O)cc2C(=O)c3ccccc3(C(=O)c2(c1(OC)))	23.45	0.756	21.55	0.695	22.05	0.711	32.05	1.034	31	21	33	23	15	3	0	12	32	10	16	0	5	0	0	0	0	0	0	0	32.258	51.613	0	16.129	0	5	0
267	Oc2cccc3cc1cc(cc(O)c1c(O)c23)C	19.95	0.665	20.13	0.671	20.91	0.697	30.27	1.009	30	18	32	20	16	0	0	16	28	12	15	0	3	0	0	0	0	0	0	0	40	50	0	10	0	3	0
268	O=C1c3cc(O)cc(O)c3(C(=O)c2c(O)cc(cc12)C)	22.45	0.748	20.55	0.685	21.05	0.702	31.05	1.035	30	20	32	22	14	2	0	12	30	10	15	0	5	0	0	0	0	0	0	0	33.333	50	0	16.667	0	5	0
269	O=C1c3ccccc3(C(=O)c2c(O)ccc(O)c12)	19.96	0.768	18.44	0.709	18.84	0.725	26.84	1.032	26	18	28	20	14	2	0	12	28	8	14	0	4	0	0	0	0	0	0	0	30.769	53.846	0	15.385	0	4	0
270	O=C(O)c1c(O)c2C(=O)c3c(O)cc(O)cc3(C(=O)c2(cc1C))	26.11	0.791	22.57	0.684	22.95	0.695	34.71	1.052	33	23	35	25	15	3	0	12	34	10	16	0	7	0	0	0	0	0	0	0	30.303	48.485	0	21.212	0	7	0
271	O=C1c3cc(ccc3(C(=O)c2c(O)cccc12))CO	21.12	0.728	20.04	0.691	20.6	0.71	29.72	1.025	29	19	31	21	14	2	0	12	29	10	15	0	4	0	0	0	0	0	0	0	34.483	51.724	0	13.793	0	4	0
272	O=C1c3ccccc3(C(=O)c2c(O)cccc12)	18.63	0.745	17.93	0.717	18.39	0.736	25.51	1.02	25	17	27	19	14	2	0	12	27	8	14	0	3	0	0	0	0	0	0	0	32	56	0	12	0	3	0
